case_number,case_link,date_of_receipt,judge,source_page
2-643/2024 ~ М-768/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830807&case_uid=7d2422c3-91f3-433e-8e8e-4ad60b1b9da4&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-5/2025 (2-644/2024;) ~ М-767/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830785&case_uid=6a91e5a2-32e2-4fa8-885c-482e7bad44b0&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-645/2024 ~ М-766/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30830757&case_uid=3da04f7e-5138-4d40-ad47-3b58b5b84c2f&delo_id=1540005,05.09.2024,Никифоров Максим Юрьевич,9
2-547/2024 ~ М-597/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828612&case_uid=d2a67c92-b6f3-4ce1-af4c-e745941fcdaf&delo_id=1540005,05.08.2024,Никифоров Максим Юрьевич,9
2-546/2024 ~ М-596/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828592&case_uid=75684181-0afb-4f65-b218-fade8b2465ec&delo_id=1540005,05.08.2024,Никифоров Максим Юрьевич,9
2-545/2024 ~ М-595/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828569&case_uid=2aa7eb7b-c898-4dc3-afd6-0fe6865c0300&delo_id=1540005,05.08.2024,Никифоров Максим Юрьевич,9
2-526/2024 ~ М-593/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828543&case_uid=3d0f609f-0d81-44bc-862a-4c21bc48fbdf&delo_id=1540005,05.08.2024,Литюк Василий Васильевич,9
2-541/2024 ~ М-592/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828525&case_uid=c11e899c-291a-43e1-a0bf-250cc11f8203&delo_id=1540005,05.08.2024,Фок Татьяна Андреевна,9
2-540/2024 ~ М-591/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828509&case_uid=7b76fa23-e886-4adf-87d4-31ed58f4c377&delo_id=1540005,05.08.2024,Фок Татьяна Андреевна,9
2-539/2024 ~ М-590/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30828494&case_uid=d1e27c13-e033-465e-9603-e3070c20977f&delo_id=1540005,05.08.2024,Фок Татьяна Андреевна,9
2-511/2024 ~ 9-543/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30826535&case_uid=f4f7893c-1f02-474f-a27c-70284a836650&delo_id=1540005,25.07.2024,Фок Татьяна Андреевна,9
2-463/2024 ~ 9-510/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827820&case_uid=0824c990-6ade-40fc-852f-0166ee5c4584&delo_id=1540005,15.07.2024,Фок Татьяна Андреевна,9
2-464/2024 ~ 9-509/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827808&case_uid=41659f2a-0010-4062-a330-50afaea68a17&delo_id=1540005,15.07.2024,Фок Татьяна Андреевна,9
2-465/2024 ~ 9-508/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827795&case_uid=e0d56ced-217f-41a5-9342-08f5c262b43a&delo_id=1540005,15.07.2024,Фок Татьяна Андреевна,9
2-466/2024 ~ 9-507/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827784&case_uid=bff51ca3-a2d5-43a0-bfbc-c0ae2d2364c4&delo_id=1540005,15.07.2024,Фок Татьяна Андреевна,9
2-467/2024 ~ 9-506/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827768&case_uid=1fde330a-8edd-4083-970b-6dcee8b780a5&delo_id=1540005,15.07.2024,Фок Татьяна Андреевна,9
2-468/2024 ~ 9-505/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827756&case_uid=05831a8b-9ba4-412e-ad52-ba05ac1b8824&delo_id=1540005,15.07.2024,Фок Татьяна Андреевна,9
2-476/2024 ~ 9-504/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827741&case_uid=e5d14075-b831-417c-8951-a92eed19914a&delo_id=1540005,15.07.2024,Литюк Василий Васильевич,9
2-477/2024 ~ 9-503/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827719&case_uid=b9736046-6910-4bd0-b448-68fa987fab2c&delo_id=1540005,15.07.2024,Литюк Василий Васильевич,9
2-478/2024 ~ 9-502/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827705&case_uid=aeb53d29-fd8c-404d-a84a-38641e74b3b7&delo_id=1540005,15.07.2024,Литюк Василий Васильевич,9
2-479/2024 ~ 9-501/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827687&case_uid=efbf6c85-cb36-4954-bdd1-9e20c06eb274&delo_id=1540005,15.07.2024,Литюк Василий Васильевич,10
2-480/2024 ~ 9-500/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827668&case_uid=1ebdda5f-ca28-49ad-8d20-19c501a59c1d&delo_id=1540005,15.07.2024,Литюк Василий Васильевич,10
2-481/2024 ~ 9-499/2024,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30827655&case_uid=7821e41e-d6e4-4b98-8906-53b3c530787c&delo_id=1540005,15.07.2024,Литюк Василий Васильевич,10
